Velocity Conversion: Feet per Second (fps) to Millimeters per Second (mm/s)
================================================================================

       FPS |            MM/S |   Meters/Second
    2087.0 |        636117.6 |          636.12
    3000.0 |        914400.0 |          914.40
    2849.0 |        868375.2 |          868.38
    2702.0 |        823569.6 |          823.57
    2560.0 |        780288.0 |          780.29
    2423.0 |        738530.4 |          738.53
    2290.0 |        697992.0 |          697.99
    2700.0 |        822960.0 |          822.96
    2425.0 |        739140.0 |          739.14
    2167.0 |        660501.6 |          660.50
    1926.0 |        587044.8 |          587.04
    1702.0 |        518769.6 |          518.77
    1500.0 |        457200.0 |          457.20
    3175.0 |        967740.0 |          967.74
    3017.0 |        919581.6 |          919.58
    2866.0 |        873556.8 |          873.56
    2719.0 |        828751.2 |          828.75
    2578.0 |        785774.4 |          785.77
    2440.0 |        743712.0 |          743.71
    3050.0 |        929640.0 |          929.64
    2897.0 |        883005.6 |          883.01
    2749.0 |        837895.2 |          837.90
    2606.0 |        794308.8 |          794.31
    2468.0 |        752246.4 |          752.25
    2333.0 |        711098.4 |          711.10
    2000.0 |        609600.0 |          609.60
    1601.0 |        487984.8 |          487.98
    1279.0 |        389839.2 |          389.84
    1067.0 |        325221.6 |          325.22
    2285.0 |        696468.0 |          696.47
    2029.0 |        618439.2 |          618.44
    1791.0 |        545896.8 |          545.90
    1575.0 |        480060.0 |          480.06
    1383.0 |        421538.4 |          421.54
    1224.0 |        373075.2 |          373.08
    2375.0 |        723900.0 |          723.90
    2094.0 |        638251.2 |          638.25
    1834.0 |        559003.2 |          559.00
    1597.0 |        486765.6 |          486.77
    2175.0 |        662940.0 |          662.94
    1932.0 |        588873.6 |          588.87
    1708.0 |        520598.4 |          520.60
    1505.0 |        458724.0 |          458.72
    2085.0 |        635508.0 |          635.51
    1811.0 |        551992.8 |          551.99
    1564.0 |        476707.2 |          476.71
    1350.0 |        411480.0 |          411.48
    1050.0 |        320040.0 |          320.04
     998.0 |        304190.4 |          304.19
     955.0 |        291084.0 |          291.08
     918.0 |        279806.4 |          279.81
    1020.0 |        310896.0 |          310.90
     987.0 |        300837.6 |          300.84
     959.0 |        292303.2 |          292.30
    2465.0 |        751332.0 |          751.33
    2183.0 |        665378.4 |          665.38
    1920.0 |        585216.0 |          585.22
    1679.0 |        511759.2 |          511.76
    2390.0 |        728472.0 |          728.47
    1959.0 |        597103.2 |          597.10
    1581.0 |        481888.8 |          481.89
    1276.0 |        388924.8 |          388.92
    2400.0 |        731520.0 |          731.52
    2151.0 |        655624.8 |          655.62
    1917.0 |        584301.6 |          584.30
